Name	451Lu_DMSO_1	451Lu_DMSO_2	451Lu_Corin_1	451Lu_Corin_2	451Lu_PLX_1	451Lu_PLX_2	451Lu_PLX_Corin_1	451Lu_PLX_Corin_2	1205Lu_DMSO_1	1205Lu_DMSO_2	1205Lu_Corin_1	1205Lu_Corin_2	1205Lu_PLX_1	1205Lu_PLX_2	1205Lu_PLX_Corin_1	1205Lu_PLX_Corin_2
ENSG00000179630.11	63.42271124	58.26539317	243.7339531	238.1185016	72.05230048	49.26548911	182.6040266	213.078966	27.66109383	36.44048122	229.7056914	221.1239407	24.41088159	29.8931972	204.538053	207.8170097
ENSG00000150893.11	28.7516291	18.14823722	273.2248941	292.5162627	19.31280255	24.14974956	145.8605334	164.6519282	104.1901201	90.14224302	256.8585596	296.452392	76.38525705	85.28606663	294.8061636	308.4042382
ENSG00000226239.2	1.046846815	0	4.517847351	8.213251097	0	2.979441543	8.926642377	12.25537663	0	0	17.28773311	14.64645643	1.085679265	1.107155452	5.062823094	9.489361176
ENSG00000133101.10	38.8992629	43.93783747	441.4967336	471.1051389	54.75974837	57.95939895	2681.161561	2617.21235	158.5902713	179.325526	522.5287124	534.5518955	156.0173736	150.5731415	553.8728465	589.289329
ENSG00000102755.12	8.071199602	6.686192659	442.1533407	464.9571655	7.687625004	5.796171733	1190.26649	1177.304333	35.95942198	27.80955324	226.9492231	257.5407311	18.8464742	23.25026449	155.9349513	172.7063734
ENSG00000139515.6	0	0	13.01070924	13.34284707	0	0	16.7015878	20.44697148	0	0	30.00659933	33.63074839	0	0	33.41463242	40.80425306
ENSG00000169840.5	0	0	13.01070924	15.39559278	0	0	10.02095268	11.83772033	0	0	0	0.885019695	0	0	0	0
ENSG00000122035.6	5.0738169	3.82068152	57.24712066	59.5296254	4.803486699	10.62588981	51.21820258	50.57935051	16.5966563	14.38440048	77.60327412	78.76675281	10.61342678	18.09158438	64.88109052	67.37446435
ENSG00000287887.1	0.84563615	0.95517038	26.8887991	21.55382989	0	0	11.13439187	17.2185023	1.844072922	0.958960032	3.104130965	2.655059084	0	1.107155452	2.025129238	3.79574447
ENSG00000157890.17	4.22818075	2.86551114	71.99259114	64.66148966	0.96069734	3.86395993	102.4364052	74.25479117	1.844072922	4.794800161	88.98508765	82.30683159	4.245370711	5.53577726	72.90465256	72.11914494
ENSG00000165474.8	0	0	32.0930828	27.712067	0.96069734	0.965989983	27.83597966	38.74163018	0	0	17.59007547	11.50525603	0	0	17.21359852	14.23404176
ENSG00000182870.13	0	0	28.62356033	26.68569414	0	0	48.99132421	39.81778657	0	0	8.277682572	1.770039389	0	2.214310904	5.062823094	4.744680588
ENSG00000185163.10	324.9060933	302.3123804	96.37466025	98.77843116	305.7890026	385.430003	116.9111146	110.689142	188.3849575	191.7920064	27.06471094	37.30004005	190.1766877	173.8676922	37.49516658	49.54708619
ENSG00000111452.13	0.845669975	0	25.16167082	26.70940336	1.92139468	0	24.4956621	27.98006624	0.922036461	0	1.034710322	3.540078778	1.061342678	0	6.075387713	8.542740462
ENSG00000111432.4	0	0	53.7775982	44.13403262	0	0	47.87788502	39.81778657	0	0	0	0	0	0	0	0
ENSG00000139364.10	1.6912723	1.911047586	211.6729634	231.0467926	0.96069734	0	230.4819116	238.9067194	3.688145844	2.876880096	183.1437269	173.4638601	1.061342678	3.321466356	174.1611144	172.7063734
ENSG00000178882.15	2.53690845	1.951909775	26.02141848	20.52745703	1.92139468	1.931979965	15.58814861	10.76156394	0	0.958960032	4.138841286	4.513777446	1.061342678	2.214310904	3.103591562	6.642552823
ENSG00000139722.7	426.1769417	436.4249879	547.3084949	493.1464959	425.5745111	445.2962662	861.7963632	820.0193343	870.3821345	849.6079017	1082.265608	1042.54435	815.103747	824.3447705	813.0650874	824.717533
ENSG00000130787.14	141.221237	139.4548755	623.646663	643.535778	150.8294823	167.116267	488.7998029	460.5949365	75.60698981	86.30640289	534.9452362	552.2522894	93.39815563	86.35812525	597.4131251	655.7148572
ENSG00000110987.8	188.7290759	161.4237942	155.7989063	152.9295549	179.6504025	204.8130601	136.9530199	154.2336582	23.97294799	23.74883699	88.46835332	113.422354	22.28819623	15.50017633	88.09312184	106.2884367
ENSG00000139725.8	63.42271124	74.50328963	289.7051258	283.2655642	69.18087221	70.51726873	407.3160963	391.7209273	45.46460366	54.3038928	244.1916359	267.3945404	39.26967907	38.75044082	277.1602	304.2175321
ENSG00000089356.18	1749.333678	1795.720314	204.7018254	222.3842058	1788.818447	1775.489588	229.3684724	190.4796817	0	0	0	0	0.711272593	0	0	0
ENSG00000157782.9	1.6912723	1.91034076	54.64497881	47.21315118	0.96069734	1.931979965	59.01227689	59.18860166	9.220364611	9.589600321	28.971889	30.97568931	7.429398744	8.857243616	39.49002013	38.90638082
ENSG00000135127.11	117.5434248	125.1273198	322.6655892	323.0631715	142.1832063	115.9187979	401.976042	408.9394296	15.67461984	10.54856035	114.8559498	128.3278557	7.429398744	7.750088164	174.1611144	182.1957346
ENSG00000135119.14	16.912723	20.05857798	120.6500416	151.903182	22.69532182	18.35380967	121.3971611	104.3871702	10.14525938	19.17920064	128.3320171	132.7529542	19.1041682	8.857243616	158.9685949	150.8808427
ENSG00000154639.19	35.60779331	35.34130406	1026.111269	1027.79951	43.29382562	43.49881871	1112.32018	1173.161131	13.83054692	10.55210851	692.6123256	653.1445346	22.28819623	23.25026449	733.096784	700.3509143
ENSG00000135111.16	89.63743189	69.72743773	437.1598305	361.2832438	109.5194967	97.56498824	721.5085929	731.7863478	683.2290177	675.1078626	974.6971229	984.1419003	522.1805974	544.7204824	775.624498	819.8808056
ENSG00000249550.7	53.19042927	52.53437089	220.6564244	289.5582562	59.56765427	57.95939895	317.3301682	308.856885	0	0.959621715	13.45206195	13.27529542	0	0	22.27763669	20.9105665
ENSG00000135094.11	0	0	12.14332863	15.39559278	0	0	8.907513492	8.60925115	0	0	2.069420643	0.885019695	0	0	3.037693856	1.897872235
ENSG00000135144.7	115.8521525	127.9928309	198.6301611	237.0921287	142.1832063	130.4086476	236.0491075	206.6220276	25.81702091	33.56360112	148.9982863	170.808801	24.41088159	33.21466356	147.8344343	153.727651
ENSG00000154646.9	0.84563615	0	34.69522464	22.58020274	0	1.931979965	16.7015878	19.37081509	0	0	13.45123418	7.965177251	0	0	8.100516951	13.28510565
ENSG00000185847.8	0	0	14.74547047	18.47471133	1.833202664	0	15.58814861	12.91387673	0	0.958960032	5.173551608	3.958321385	0	0	3.037693856	5.565462883
ENSG00000286220.1	23.64322568	33.00285593	2.034207042	3.642802525	27.25969095	23.9245773	0	0.370929586	0.929717025	0	0	0	1.061342678	1.107155452	0	0.948936118
ENSG00000111199.10	60.88580279	66.86192659	120.5659056	95.45267521	79.7378792	81.14315854	52.33164177	43.04625575	9.220364611	10.54856035	60.01319865	57.52628014	6.368056066	3.321466356	48.6031017	52.19148647
ENSG00000183684.8	1621.084499	1566.479423	253.2751399	237.0921287	1508.294823	1531.094122	179.263709	195.8604637	2645.322607	2637.140088	543.2229188	537.2069546	2677.767576	2709.209391	529.5712956	536.1489064
ENSG00000166111.10	0	0	23.33956436	18.47471133	0	0	13.36628071	9.703045747	0	0	1.044281392	0	1.061342678	0	2.03096161	0.949277735
ENSG00000110876.9	0.84563615	0.95517038	6.939044929	11.29010137	1.92139468	2.897969948	24.4956621	18.29465869	2.766109383	2.876880096	33.11073029	29.20564992	2.122685355	3.321466356	28.35180933	25.62127517
ENSG00000198855.7	14.37581455	16.23789646	66.78830744	62.60874395	24.01743349	21.25177962	121.3648713	95.77791905	105.1121566	89.18328299	181.0743063	172.5788404	91.27547028	97.42967977	226.8144746	239.1319016
ENSG00000174600.14	0	0	23.41927663	31.8175584	0	0.965989983	60.12571607	63.49322723	75.60698981	77.6757626	69.32559154	61.06635892	37.14699372	63.10786076	29.36437395	30.36595576
ENSG00000279717.1	0	2.86551114	21.6845154	24.63294844	0	0	18.92846617	12.91387673	1.844072922	0.958960032	1.034710322	0	1.061342678	0	0	0
ENSG00000136052.9	39.76113526	51.6705148	280.2567487	316.1228383	54.57145169	50.23147909	393.0440328	375.5785814	122.6566663	106.5644336	533.9105259	534.7713804	76.41667279	103.0488258	410.8511318	363.442533
ENSG00000198431.16	2536.062814	2599.028155	16452.47553	16693.95443	2452.660308	2574.363304	14697.39726	14690.61093	4678.413004	4619.329654	14447.66022	14693.09697	4291.050899	4422.01209	9401.662486	9720.996482
ENSG00000180263.14	16.912723	16.2476392	165.8622562	164.2750804	24.10005347	17.38781969	175.0437745	146.3572696	26.73905737	28.76880096	147.963576	167.2687223	16.98487914	16.60733178	163.2851579	164.2238334
ENSG00000073350.13	34.67108215	40.11715595	404.1993671	382.8370737	45.15277497	54.09543902	544.4717622	478.8895952	0	0	1.034710322	1.770039389	0	0	1.012564619	0
ENSG00000136040.9	2516.613182	2383.150098	899.4736989	853.9422126	2407.507534	2349.287638	651.3619241	634.9322723	8.29832815	14.38440048	66.22146058	68.14651648	6.368056066	8.857243616	60.75387713	65.47659211
ENSG00000011465.17	0.84563615	1.91034076	39.03212772	32.84393125	5.764184039	3.86395993	35.63005397	32.28469181	0	0	1.501188776	0	0	0	0	0
ENSG00000234380.2	1.98822589	1.91034076	4.33690308	18.04137671	0.96069734	2.897969948	7.81578637	12.14313352	3.694673862	2.880715937	27.25447681	27.66146756	2.131197324	1.107155452	9.33129937	11.45622107
ENSG00000049130.16	5.0738169	13.37238532	181.2825488	183.7207404	7.685578718	4.829949913	164.7889996	158.1949899	23.97294799	22.05608074	293.8577313	323.9172082	21.22685355	24.35741994	254.1537193	242.9276461
ENSG00000133636.11	0.84563615	0	26.8887991	41.05491407	0.96069734	0	21.15534454	31.20853542	0	0	0	0	0	0	0	1.897872235
ENSG00000167964.13	7.610725349	4.775851899	35.56260526	36.94942266	8.646276058	4.829949913	17.81502698	24.75159706	0	0	13.45123418	8.850196945	1.061342678	0	20.25129238	16.131914
ENSG00000073060.16	2415.98248	2363.03421	1658.431738	1610.379004	2256.697265	2249.790669	1023.08471	1096.603365	75.60726642	62.33240209	427.3384669	421.2693746	84.90741421	100.7511461	407.5916863	370.0850859
ENSG00000139220.16	0.84563615	0.95517038	29.49094095	28.73843985	0	1.931979965	20.04190536	25.82775345	3.688145844	3.835840129	15.52065482	22.12549236	7.429398744	5.53577726	16.2010339	20.87659459
ENSG00000130066.16	1452.802906	1428.934888	6097.685731	6075.100909	1353.622552	1403.583445	5590.578156	5693.94348	313.4923968	334.6770512	6236.199108	6386.302116	291.8692364	337.6824129	4514.013071	4458.10188
ENSG00000007264.15	0	0	39.03212772	47.21315118	0	0	102.4364052	103.3110138	0	0	67.2561709	47.7910635	0	0	61.76644175	62.62978376
ENSG00000139278.10	0.84563615	2.86551114	10.40856739	11.29010137	0.96069734	3.86395993	30.06285804	32.28469181	4.610182305	0.958960032	20.83916935	27.50924417	5.306713388	1.112591585	1.020857523	3.79574447
ENSG00000185518.11	0.84563615	0	109.2899576	138.560335	0.96069734	0.965989983	115.7976754	124.8341417	0	0	52.03092587	65.17453184	0	0	48.63469372	36.49560861
ENSG00000135678.12	529.3183373	545.1300634	361.7575662	412.6018864	600.2129556	607.0908944	414.1993774	380.3836197	23.05091153	23.01504077	449.2236249	482.2012105	22.28819623	22.16148782	428.7644125	436.7990907
ENSG00000074621.14	299.494727	307.5648623	57.24712066	45.16040547	293.0126886	284.9853987	51.21820258	45.19856854	41.54816158	42.19424141	36.22065563	34.51576809	55.18981924	50.92915079	32.41148465	34.16170023
ENSG00000279249.3	0	0	14.74547047	15.39559278	3.842789359	2.897969948	17.81502698	13.99003312	0.928241766	0.958960032	4.138841286	1.770039389	0	2.214310904	6.075387713	6.642552823
ENSG00000156076.10	0	0	31.22570218	45.16040547	0	0	34.51661478	18.29465869	0	0	0	0	0	0	0	0
ENSG00000111490.14	13.5301784	5.731022279	65.92092682	48.23952403	3.842789359	11.59187979	41.1972499	46.27472493	0	3.835840129	2.069420643	5.340199987	2.122685355	1.107155452	1.012564619	4.744680588
ENSG00000111110.12	177.5835915	179.5720314	431.9555468	466.9996475	169.0827318	180.6401267	273.9060399	228.1451555	14.75258338	10.54856035	145.8941553	155.7634662	18.04282552	16.60733178	125.5580127	135.6978648
ENSG00000105427.10	5.919453049	7.641363039	38.16474711	43.10765977	4.803486699	3.86395993	28.94941885	31.20853542	1.844072922	0.958960032	18.62478579	22.12549236	1.061342678	5.53577726	24.30155085	22.77446682
ENSG00000176531.10	27.90599295	17.19306684	103.285949	95.45267521	28.82092019	30.91167944	115.7976754	109.7679522	86.67142734	93.97808315	100.3669012	79.88842677	81.72338618	67.53648257	102.2690265	98.68935623
ENSG00000154736.6	0	0	17.34761232	19.50108418	0	0.965989983	10.02095268	9.685407544	0	0.958960032	15.52065482	16.8153742	1.061342678	0	11.13821081	9.489361176
ENSG00000135446.17	1670.131396	1625.680883	439.7619724	381.8107008	1639.775861	1587.420998	310.4201646	306.4430662	1776.764261	1749.143099	619.6849075	664.6497906	1796.831926	1903.178079	522.4833433	553.2297565
ENSG00000255737.2	241.0063027	219.6891874	65.92092682	73.89884532	209.4320201	201.8919064	45.65100665	61.34091445	317.1805426	280.9752894	67.2561709	61.06635892	309.9120619	275.6817075	81.00516951	77.81276164
ENSG00000135439.11	22.83217605	29.61028178	121.4332863	110.848268	27.86022285	35.74162935	100.2095268	97.93023183	23.97294799	21.09712071	82.77682572	83.19185129	21.22685355	19.92879814	103.2815911	101.5361646
ENSG00000135454.14	4.22818075	1.91034076	71.99259114	85.18894669	1.92139468	0.965989983	74.6004255	64.56938363	1485.400739	1516.115811	1029.53677	940.7759353	1517.720029	1440.409243	871.8181368	873.0174324
ENSG00000176658.17	2006.694584	2005.857798	3103.487844	3037.037268	2129.866002	2172.511471	2963.975115	2806.615875	83.90531796	99.73184334	790.5186857	756.6918388	75.35533011	67.53648257	736.1344779	733.5276189
ENSG00000135437.9	2.53690845	0	5.204283697	4.481338881	0.96069734	1.166635762	7.549885958	17.90681193	2.757894038	1.524353277	39.7680565	46.69142653	0.228564391	4.428621808	17.56171824	11.81169254
ENSG00000170439.7	2.53690845	4.775851899	24.28665725	31.8175584	9.606973398	9.659899826	90.18857411	77.48326035	31.34923968	43.15320145	141.7553141	132.7529542	24.41088159	39.85759627	69.8669587	64.527656
ENSG00000123338.13	0	0	18.21959006	19.50108418	0	0	20.04190536	15.06618951	0.922036461	0.958960032	2.069420643	3.540078778	2.123884673	0	1.017566688	5.693616705
ENSG00000161642.17	54.12071359	53.48954127	303.5832156	289.4371442	53.79905103	54.09543902	288.3807493	246.4398142	88.51550026	81.51160273	207.9767746	174.3488798	77.47801547	61.72458074	204.538053	173.6553095
ENSG00000139572.4	0	0	0	0	0	0.965989983	24.4956621	21.52312788	0	0	0	0	0	0	0	0
ENSG00000123415.15	187.7312253	189.3214555	136.4537164	123.0343928	175.8076132	183.703281	161.448682	119.4533597	63.62051581	79.59368267	67.2561709	77.88173312	82.78472886	89.67959161	52.6614607	48.395742
